ID,民族,人口数量,人口排名,主要分布地区1,地形结构1,微生态区1,气候带特征1,主要分布地区2,地形结构2,微生态区2,气候带特征2,主要分布地区3,地形结构3,微生态区3
CN-HAN-01,汉族,1286311334,1,全国分布,平原,黄淮海平原,温带,,丘陵,长江中下游平原,亚热带,,盆地,四川盆地
CN-MGL-02,蒙古族,6290204,10,内蒙古自治区,内蒙古高原,呼伦贝尔草原,温带大陆性气候,新疆维吾尔自治区,戈壁,锡林郭勒草原,高寒气候,辽宁省,高山草甸,科尔沁沙地
CN-HUI-03,回族,11377914,4,宁夏回族自治区,黄土高原,黄河上游干旱半干旱区,温带大陆性气候,甘肃省,河西走廊绿洲,六盘山区,温带季风气候,青海省,平原,
CN-ZAN-04,藏族,7060731,9,西藏自治区,青藏高原,雅鲁藏布江谷地,高原高寒气候,四川省,喜马拉雅山脉,三江源高寒草甸,垂直立体气候,青海省,横断山脉,川西高山峡谷
CN-WEW-05,维吾尔族,11774538,3,新疆维吾尔自治区,盆地边缘绿洲,塔里木盆地绿洲,温带极端干旱气候,,,吐鲁番盆地,,,,伊犁河谷
CN-MIA-06,苗族,11067929,5,贵州省,云贵高原,黔东南苗岭,亚热带季风气候,湖南省,武陵山区,武陵山区,,云南省,,湘西山地
CN-YI-07,彝族,9830327,7,云南省,横断山区,大小凉山,亚热带高原季风气候,四川省,大小凉山,乌蒙山区,,贵州省,,红河干热河谷
CN-ZHU-08,壮族,19568546,2,广西壮族自治区,岭南丘陵,右江河谷,亚热带,云南省,喀斯特盆地,左江流域,热带季风气候,广东省,,红水河溶岩区
CN-BUY-09,布依族,3576752,11,贵州省,云贵高原东南部,黔南,亚热带季风气候,,丘陵,黔西南喀斯特河谷地带,,,,
CN-CXN-10,朝鲜族,1702479,16,吉林省,长白山麓,图们江流域,温带季风气候,黑龙江省,东北平原,鸭绿江流域,,辽宁省,,松花江流域
CN-MAN-11,满族,10410585,6,辽宁省,辽东半岛,长白山林区,温带季风气候,河北省,长白山脉,辽河流域,,黑龙江省,东北平原,松嫩平原
CN-DNG-12,侗族,3495993,12,贵州省,黔湘桂交界中低山区,都柳江,亚热带季风气候,湖南省,,清水江,,广西壮族自治区,,渠江流域
CN-YAO-13,瑶族,3309341,13,广西壮族自治区,中高山林区,南岭走廊,亚热带季风气候,湖南省,十万大山,都庞岭,,云南省,,十万大山
CN-BAI-14,白族,2089069,14,云南省,大理苍山山麓,苍山洱海盆地,亚热带高原季风气候,,洱海盆地,大理坝子,,,,
CN-TJZ-15,土家族,8952750,8,湖南省,武陵山区,武陵山腹地,亚热带季风气候,湖北省,乌蒙山区边缘,清江流域,,重庆市,,酉水流域
CN-HNI-16,哈尼族,1733166,15,云南省,哀牢山,哀牢山梯田区,亚热带,,无量山,无量山区,热带季风气候,,,红河中下游谷地
CN-HSK-17,哈萨克族,1562518,18,新疆维吾尔自治区,天山,天山北坡牧场,温带大陆性气候,甘肃省,阿尔泰山,阿尔泰山河谷,,,准噶尔盆地边缘,准噶尔盆地边缘
CN-DAI-18,傣族,1329985,19,云南省,低海拔宽谷盆地,西双版纳热带雨林,热带,,,德宏宽谷坝子,亚热带季风气候,,,澜沧江流域
CN-LIZ-19,黎族,1602104,17,海南省,五指山区,五指山腹地,热带海洋性季风气候,,鹦哥岭,鹦哥岭,,,,海南岛中南部河谷
CN-LSU-20,傈僳族,762996,21,云南省,横断山区,怒江大峡谷,高山峡谷垂直立体气候,四川省,高黎贡山,高黎贡山,,,,金沙江干热河谷
CN-VA-21,佤族,430977,26,云南省,阿佤山区,阿佤山区,亚热带,,,澜沧江高山地带,热带季风气候,,,萨尔温江分水岭
CN-SHE-22,畲族,746385,22,福建省,东南沿海丘陵山地,闽浙赣交界山区,亚热带海洋性季风气候,浙江省,,武夷山脉,,江西省,,雁荡山脉
CN-GAO-23,高山族,3479,56,台湾省,台湾中央山脉,台湾中央山脉,热带,福建省,东部沿海平原,阿里山林区,亚热带海洋性季风气候,,,兰屿岛
CN-LAH-24,拉祜族,499027,24,云南省,澜沧江流域中低海拔山区,普洱,亚热带,,,临沧山地,热带季风气候,,,
CN-SUI-25,水族,495928,25,贵州省,黔南苗岭以南丘陵,都柳江上游,亚热带季风气候,广西壮族自治区,,龙江上游,,,,
CN-DXG-26,东乡族,774947,20,甘肃省,陇西黄土高原,陇西黄土高原,温带大陆性半干旱气候,新疆维吾尔自治区,,洮河黄土沟壑区,,,,
CN-NAX-27,纳西族,323767,27,云南省,玉龙雪山脚下盆地,丽江坝子,亚热带高原季风气候,四川省,,金沙江干热河谷,,,,泸沽湖畔
CN-JPO-28,景颇族,160471,34,云南省,横断山脉南延中低海拔山区,大盈江流域,热带,,,瑞丽江流域,亚热带季风气候,,,横断山南延中低山
CN-KGZ-29,柯尔克孜族,204873,31,新疆维吾尔自治区,帕米尔高原,帕米尔高原牧场,高原高寒气候,黑龙江省,天山南脉,天山南脉,温带干旱气候,,,克孜勒苏河谷
CN-TUZ-30,土族,281928,29,青海省,祁连山脉余脉,湟水谷地,高原温带大陆性气候,甘肃省,青藏高原东北边缘,大通河流域,,,,祁连山余脉
CN-DAW-31,达斡尔族,132299,35,内蒙古自治区,大兴安岭边缘,嫩江流域,温带大陆性季风气候,黑龙江省,森林草原交汇带,雅鲁河流域,,新疆维吾尔自治区,,森林草原交汇带
CN-MUL-32,仫佬族,277233,30,广西壮族自治区,九万大山,罗城武阳江流域,亚热带季风气候,,喀斯特溶岩山区,,,,,
CN-QIA-33,羌族,312981,28,四川省,岷山山脉,岷江上游的高山深谷,高山峡谷垂直立体气候,,邛崃山区,,,,,
CN-BLA-34,布朗族,127345,36,云南省,中高海拔山区,布朗山古茶山,亚热带季风气候,,,勐海县高山区,,,,
CN-SAL-35,撒拉族,165159,33,青海省,青藏高原向黄土高原过渡地带,黄河沿岸循化谷地,高原温带大陆性气候,甘肃省,,青藏向黄土过渡带,,,,
CN-MAO-36,毛南族,124092,37,广西壮族自治区,大石山区,环江县的干旱岩溶地貌区,亚热带季风气候,,喀斯特峰丛洼地,,,,,
