ID,民族,语系1,语系2,语族1,语族2,语支1,语支2,单一书写系统,支系1,地区1,语言1,支系2,地区2,语言2,支系3,地区3,语言3,支系4,地区4,语言4,支系5,地区5,语言5
CN-HAN-01,汉族,汉藏语系,,汉语族,,,,汉字,北方汉人,北方地区,北方官话,吴越民系,江浙地区,吴语,广府民系,两广地区,粤语,客家民系,两广地区,客家话,闽海民系,福建地区,闽语
CN-MGL-02,蒙古族,阿尔泰语系,,蒙古语族,,,,传统蒙古文,察哈尔部,内蒙古中部,蒙古语察哈尔方言,卫拉特部,新疆地区,卫拉特方言,巴尔虎部,呼伦贝尔,巴尔虎方言,,,,,,
CN-HUI-03,回族,汉藏语系,,汉语族,,,,汉字,西北回民,西北地区,西北官话,中原回民,中原地区,中原官话,云南回民,云南地区,西南官话,,,,,,
CN-ZAN-04,藏族,汉藏语系,,藏缅语族,,藏语支,,藏文,卫藏人,西藏拉萨,卫藏方言,康巴人,四川甘孜,康方言,安多人,青海地区,安多方言,,,,,,
CN-WEW-05,维吾尔族,阿尔泰语系,,突厥语族,,葛逻禄语支,,老维吾尔文,中心维吾尔人,喀什地区,中心方言,和田维吾尔人,和田地区,和田方言,罗布人,罗布泊地区,罗布方言,,,,,,
CN-MIA-06,苗族,汉藏语系,,苗瑶语族,,苗语支,,老苗文,红苗,湘西地区,湘西方言,黑苗,黔东南地区,黔东方言,白苗,川黔滇交界,川黔滇方言,,,,,,
CN-YI-07,彝族,汉藏语系,,藏缅语族,,彝语支,,老彝文,诺苏人,四川凉山,北部方言,纳苏人,云南东北,东部方言,聂苏人,云南楚雄,中部方言,,,,,,
CN-ZHU-08,壮族,汉藏语系,,壮侗语族,,壮傣语支,,方块壮字,布壮,广西红水河以北,壮语北部方言,布土,广西红水河以南,壮语南部方言,,,,,,,,,
CN-BUY-09,布依族,汉藏语系,,壮侗语族,,壮傣语支,,布依文,布依本支,贵州黔南,第一土语,布依西支,贵州黔西南,第二土语,,,,,,,,,
CN-CXN-10,朝鲜族,孤立语言(或归阿尔泰),,,,,,谚文,咸镜道移民,吉林延边,咸镜道方言,平安道移民,辽宁地区,平安道方言,,,,,,,,,
CN-MAN-11,满族,阿尔泰语系,汉藏语系,满-通古斯语族,汉语族,满语支,,满文,建州女真后裔,黑龙江黑河,满语,海西女真后裔,东北全境,东北官话,,,,,,,,,
CN-DNG-12,侗族,汉藏语系,,壮侗语族,,侗水语支,,侗文,南侗,贵州黎平,南部方言,北侗,湖南新晃,北部方言,,,,,,,,,
CN-YAO-13,瑶族,汉藏语系,,苗瑶语族,,瑶语支,苗语支,勉文,盘瑶,广西地区,勉语,布努瑶,广西都安,布努语,茶山瑶,广西金秀,拉珈语,,,,,,
CN-BAI-14,白族,汉藏语系,,藏缅语族,,白语支(争议，或独立),,老白文,那马人,云南大理,南部方言,勒墨人,云南剑川,中部方言,谷宗人,云南怒江,北部方言,,,,,,
CN-TJZ-15,土家族,汉藏语系,,藏缅语族,,土家语支,,无传统文字,毕兹卡,湖南龙山,土家语北部方言,土家族南支,湖南泸溪,土家语南部方言,,,,,,,,,
CN-HNI-16,哈尼族,汉藏语系,,藏缅语族,,彝语支,,哈尼文,哈尼本支,云南红河,哈雅方言,卡多支系,云南墨江,碧卡方言,白宏支系,云南元江,豪白方言,,,,,,
CN-HSK-17,哈萨克族,阿尔泰语系,,突厥语族,,钦察语支,,哈萨克文,克烈部,新疆阿勒泰,东北方言,乃蛮部,新疆伊犁,西南方言,,,,,,,,,
CN-DAI-18,傣族,汉藏语系,,壮侗语族,,壮傣语支,,傣仂文,傣仂,云南西双版纳,傣仂语,傣哪,云南德宏,傣哪语,傣端,云南金平,金平傣语,,,,,,
CN-LIZ-19,黎族,汉藏语系,,壮侗语族,,黎语支,,黎文,哈黎,海南保亭,哈方言,杞黎,海南陵水,杞方言,润黎,海南白沙,润方言,,,,,,
CN-LSU-20,傈僳族,汉藏语系,,藏缅语族,,彝语支,,老傈僳文,黑傈僳,云南怒江,怒江方言,白傈僳,云南禄劝,禄劝方言,,,,,,,,,
CN-VA-21,佤族,南亚语系,,孟高棉语族,,佤德昂语支,,佤文,巴饶克,云南西盟,巴饶克方言,阿佤,云南沧源,佤方言,,,,,,,,,
CN-SHE-22,畲族,汉藏语系,,苗瑶语族,汉语族,苗语支,,通用汉字,活聂,广东博罗,畲语炯奈话,山哈,福建地区,畲话客家方言,,,,,,,,,
CN-GAO-23,高山族,南岛语系,,台湾南岛语族,,,,拉丁字母拼写,泰雅人,台湾北部山区,泰雅语,排湾人,台湾南部山区,排湾语,阿美人,台湾东部平原,阿美语,,,,,,
CN-LAH-24,拉祜族,汉藏语系,,藏缅语族,,彝语支,,拉祜文,拉祜纳,云南澜沧,黑拉祜语,拉祜西,云南西盟,黄拉祜语,,,,,,,,,
CN-SUI-25,水族,汉藏语系,,壮侗语族,,侗水语支,,水书,睢人,贵州三都,三洞土语,水族阳安支,贵州荔波,阳安土语,,,,,,,,,
CN-DXG-26,东乡族,阿尔泰语系,,蒙古语族,,,,无传统文字,撒尔塔,甘肃东乡县,锁南汪家集方言,,,,,,,,,,,,
CN-NAX-27,纳西族,汉藏语系,,藏缅语族,,彝语支,,东巴文,纳西本支,云南丽江,西部方言,摩梭人,云南宁蒗,东部方言,,,,,,,,,
CN-JPO-28,景颇族,汉藏语系,,藏缅语族,,景颇语支,,景颇文,景颇支系,云南瑞丽,景颇语,载瓦支系,云南芒市,载瓦语,,,,,,,,,
CN-KGZ-29,柯尔克孜族,阿尔泰语系,,突厥语族,,钦察语支,,柯尔克孜文,南疆克尔克孜,新疆克孜勒苏,南部方言,北疆克尔克孜,新疆特克斯,北部方言,,,,,,,,,
CN-TUZ-30,土族,阿尔泰语系,,蒙古语族,,,,土族拼音文字,蒙古尔,青海互助,互助方言,察罕蒙古尔,青海民和,民和方言,,,,,,,,,
CN-DAW-31,达斡尔族,阿尔泰语系,,蒙古语族,,,,无传统文字,布特哈支系,内蒙古莫力达瓦,布特哈方言,齐齐哈尔支系,黑龙江齐齐哈尔,齐齐哈尔方言,,,,,,,,,
CN-MUL-32,仫佬族,汉藏语系,,壮侗语族,,侗水语支,,无传统文字,木佬人,广西罗城,仫佬语,,,,,,,,,,,,
CN-QIA-33,羌族,汉藏语系,,藏缅语族,,羌语支,,羌文,尔玛人,四川茂县,北部方言,羌族南支,四川汶川,南部方言,,,,,,,,,
CN-BLA-34,布朗族,南亚语系,,孟高棉语族,,佤德昂语支,,无传统文字,乌人,云南布朗山,布朗方言,翁人,云南双江,阿尔方言,,,,,,,,,
CN-SAL-35,撒拉族,阿尔泰语系,,突厥语族,,乌古斯语支,,无传统文字,撒拉尔,青海循化,街子方言,,,,,,,,,,,,
CN-MAO-36,毛南族,汉藏语系,,壮侗语族,,侗水语支,,无传统文字,阿难人,广西环江,毛南语,,,,,,,,,,,,
CN-GLA-37,仡佬族,汉藏语系,,壮侗语族,,仡央语支,,无传统文字,红仡佬,贵州遵义,稿方言,披袍仡佬,贵州安顺,哈方言,,,,,,,,,
CN-XBE-38,锡伯族,阿尔泰语系,,满-通古斯语族,,满语支,,锡伯文,伊犁锡伯,新疆察布查尔,锡伯语,东北锡伯,辽宁沈阳,东北官话,,,,,,,,,
CN-ACH-39,阿昌族,汉藏语系,,藏缅语族,,缅语支,,无传统文字,蒙撒,云南陇川,陇川方言,汉撒,云南梁河,梁河方言,,,,,,,,,
CN-PMI-40,普米族,汉藏语系,,藏缅语族,,羌语支,,韩规文,普英米,云南兰坪,南部方言,普日米,四川木里,北部方言,,,,,,,,,
CN-TJK-41,塔吉克族,印欧语系,,伊朗语族,,帕米尔语支,,无传统文字,色勒库尔塔吉克,新疆塔什库尔干,色勒库尔语,瓦罕塔吉克,新疆莎车,瓦罕语,,,,,,,,,
CN-NU-42,怒族,汉藏语系,,藏缅语族,,彝语支,,无传统文字,怒苏,云南福贡,怒苏语,柔若,云南兰坪,柔若语,阿侬,云南贡山,阿侬语,,,,,,
CN-UZB-43,乌孜别克族,阿尔泰语系,,突厥语族,,葛逻禄语支,,乌孜别克文,新疆乌孜别克,新疆喀什,乌孜别克语,,,,,,,,,,,,
CN-ELS-44,俄罗斯族,印欧语系,,斯拉夫语族,,东斯拉夫语支,,俄文,新疆俄罗斯人,新疆伊犁,俄语西伯利亚方言,,,,,,,,,,,,
CN-EWK-45,鄂温克族,阿尔泰语系,,满-通古斯语族,,通古斯语支,,无传统文字,索伦部,内蒙古海拉尔,海拉尔方言,通古斯部,内蒙古陈巴尔虎旗,陈巴尔虎方言,雅库特部,内蒙古根河,辉河方言,,,,,,
CN-DNG-46,德昂族,南亚语系,,孟高棉语族,,佤德昂语支,,无传统文字,红德昂,云南潞西,布雷方言,花德昂,云南镇康,梁方言,黑德昂,云南瑞丽,汝买方言,,,,,,
CN-BAO-47,保安族,阿尔泰语系,,蒙古语族,,,,无传统文字,大河家保安,甘肃积石山,保安语大河家方言,,,,,,,,,,,,
CN-YGU-48,裕固族,阿尔泰语系,,突厥语族,蒙古语族,,,无传统文字,撒里畏吾尔,甘肃肃南西部,西部裕固语,恩格尔,甘肃肃南东部,东部裕固语,,,,,,,,,
