ID,民族,地理区位1,地理区位2,地理区位3,主食1,主食2,主食3,肉类1,肉类2,肉类3,肉类4,蔬菜1,蔬菜2,蔬菜3,酒水1,酒水2,酒水3,风味类型,辣度指标(0-5),酸度指标(0-5),特色菜肴1,特色菜肴2,特色菜肴3,特色菜肴4,特色菜肴5,禁忌1,来源1,禁忌2,来源2
CN-HAN-01,汉族,全国分布,,,稻米,小麦,杂粮,猪肉,鸡鸭,鱼类,,各类蔬菜全覆盖,,,白酒,黄酒,绿茶/红茶/乌龙茶,地域复合型,4,4,麻婆豆腐,葱烧海参,白切鸡,狮子头,剁椒鱼头,长幼尊卑餐桌动筷顺序,儒家礼教,无绝对食材禁忌,世俗礼仪
CN-MGL-02,蒙古族,内蒙古自治区,新疆维吾尔自治区,辽宁省,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,烤全羊,奶疙瘩,炒米,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-HUI-03,回族,宁夏回族自治区,甘肃省,青海省,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,手抓羊肉,油香,馓子,粉汤,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-ZAN-04,藏族,西藏自治区,四川省,青海省,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,酥油茶,风干牦牛肉,糌粑,血肠,青稞酒,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗
CN-WEW-05,维吾尔族,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,大盘鸡,烤肉串,馕,烤包子,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-MIA-06,苗族,贵州省,湖南省,云南省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,五色糯米饭,腌鱼,鼓藏肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-YI-07,彝族,云南省,四川省,贵州省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,坨坨肉,辣子鸡,杆杆酒,苦荞粑粑,冻肉,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-ZHU-08,壮族,广西壮族自治区,云南省,广东省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,五色糯米饭,宁明柠檬鸭,猪血肠,白切狗肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-BUY-09,布依族,贵州省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-CXN-10,朝鲜族,吉林省,黑龙江省,辽宁省,大米,,,牛肉,狗肉(传统),猪肉,海产品,大白菜,桔梗,蕨菜,清酒,浊酒(马格利),麦茶,酸辣复合型,3,3,冷面,打糕,辣白菜,大酱汤,狗肉汤,长幼尊卑餐桌动筷顺序,儒家礼教,无绝对食材禁忌,世俗礼仪
CN-MAN-11,满族,辽宁省,河北省,黑龙江省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,萨其马,酸汤子,白肉血肠,猪肉炖粉条,饽饽,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-DNG-12,侗族,贵州省,湖南省,广西壮族自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,牛鳖,酸汤鱼,紫血肉,腌鱼,重阳酒,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
