ID,民族,地区1,典型民居1,建筑结构1,结构功能1,主要建筑材质1,物质属性1,精神属性1,地区2,典型民居2,建筑结构2,结构功能2,主要建筑材质2,物质属性2,精神属性2,地区3,典型民居3,建筑结构3,结构功能3,主要建筑材质3,物质属性3,精神属性3,地区4,典型民居4,建筑结构4,结构功能4,主要建筑材质4,物质属性4,精神属性4,地区5,典型民居5,建筑结构5,结构功能5,主要建筑材质5,物质属性5,精神属性5
CN-HAN-01,汉族,华北平原,四合院,砖木结构,防寒保暖,青砖,神龛,道教,黄土高原,窑洞,生土拱券结构,冬暖夏凉,黄土,炕神,道教,江南水乡,徽派,穿斗式木构,通风散热,木材,天井,道教,闽粤丘陵,客家土楼,生土厚墙结构,防御聚居,生土,祠堂,道教,岭南地区,镬耳屋,砖木结构,防风防火,青砖,神龛,道教
CN-MGL-02,蒙古族,内蒙古草原,蒙古包,木骨架穹庐,防风雪易拆装,羊毛毡,火塘,藏传佛教,东北农区,海青房,土木结构,定居保暖,泥土,神龛,藏传佛教,,,,,,,,,,,,,,,,,,,,,
CN-HUI-03,回族,西北干旱区,四合院,土木结构,封闭防沙,青砖,礼拜空间,伊斯兰教,宁夏山区,庄窠,夯土结构,防御聚居,夯土,礼拜空间,伊斯兰教,,,,,,,,,,,,,,,,,,,,,
CN-ZAN-04,藏族,卫藏谷地,藏式碉房,石木平顶结构,御寒防震,花岗岩,经堂,藏传佛教,康巴林区,崩空,井干式木构,防震保暖,圆木,经堂,藏传佛教,羌塘草原,黑帐篷,牦牛毛编织,防风御寒,牦牛绒,火塘,藏传佛教,,,,,,,,,,,,,,
CN-WEW-05,维吾尔族,塔里木盆地,阿以旺,生土平顶结构,防沙采光,生土,内庭,伊斯兰教,喀什噶尔,高台民居,生土密集结构,防震散热,夯土,庭院,伊斯兰教,吐鲁番盆地,晾房,花砖生土结构,通风干燥,生土,火墙,伊斯兰教,,,,,,,,,,,,,,
CN-MIA-06,苗族,武陵山区,吊脚楼,穿斗式木构架,防潮避虫,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-YI-07,彝族,哀牢山区,土掌房,生土平顶结构,隔热防风,夯土,火塘,自然崇拜,大小凉山,瓦房,木构架,底层圈畜,木材,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,
CN-ZHU-08,壮族,右江流域,麻栏,干栏式木构,防潮散热,竹材,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-BUY-09,布依族,黔西南喀斯特,石板房,石构干栏,挡雨防风,石块,神龛,自然崇拜,黔南河谷,吊脚楼,木构干栏,防潮避兽,木材,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,
CN-CXN-10,朝鲜族,长白山区,八作房,木构架四坡顶,防寒保温,木材,火炕,儒教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-MAN-11,满族,松嫩平原,口袋房,砖木结构,防寒保暖,青砖,万字炕,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-12,侗族,都柳江流域,吊脚楼,穿斗式木构架,防潮防兽,杉木,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-YAO-13,瑶族,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-BAI-14,白族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,本主崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-TJZ-15,土家族,湖南省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-HNI-16,哈尼族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-HSK-17,哈萨克族,阿尔泰山,毡房,木骨架穹庐,防风雪易拆装,羊毛毡,火塘,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DAI-18,傣族,澜沧江谷地,竹楼,干栏式竹构,防潮散热,竹材,火塘,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-LIZ-19,黎族,五指山区,船形屋,竹木拱形结构,防台风,茅草,中柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-LSU-20,傈僳族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-VA-21,佤族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-SHE-22,畲族,福建省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-GAO-23,高山族,台湾省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-LAH-24,拉祜族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-SUI-25,水族,贵州省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DXG-26,东乡族,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-NAX-27,纳西族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,东巴教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-JPO-28,景颇族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-KGZ-29,柯尔克孜族,新疆,帐篷,木骨架穹庐,防风易迁,木杆(哈那/乌尼),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-TUZ-30,土族,青海省,干栏式,干栏式木构,防潮散热,杉木,神柱,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DAW-31,达斡尔族,内蒙古,干栏式,干栏式木构,防潮散热,杉木,神柱,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-MUL-32,仫佬族,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-QIA-33,羌族,岷江上游峡谷,羌族碉楼,石构高层建筑,防御御寒,石块,白石神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-BLA-34,布朗族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-SAL-35,撒拉族,黄河谷地,篱笆楼,木骨泥墙结构,防震保暖,木材,礼拜空间,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-MAO-36,毛南族,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-GLA-37,仡佬族,贵州省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-XBE-38,锡伯族,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-ACH-39,阿昌族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-PMI-40,普米族,云南省,碉房,石木平顶结构,防御御寒,花岗岩石块,经堂,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-TJK-41,塔吉克族,新疆,平顶式,生土平顶结构,防寒保暖,生土(土块/夯土),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-NU-42,怒族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-UZB-43,乌孜别克族,新疆,平顶式,生土平顶结构,防寒保暖,生土(土块/夯土),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-ELS-44,俄罗斯族,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,东正教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-EWK-45,鄂温克族,内蒙古,圆锥形简易帐篷,木构架,防寒保暖,白桦树皮,火塘,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-46,德昂族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-BAO-47,保安族,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-YGU-48,裕固族,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-JIN-49,京族,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-TAT-50,塔塔尔族,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DRU-51,独龙族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-ORQ-52,鄂伦春族,大兴安岭,仙人柱,木骨架圆锥,御寒易迁,树皮,火塘,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-HEZ-53,赫哲族,三江平原,仙人柱,木骨架圆锥,御寒易迁,兽皮,火塘,萨满教,黑龙江沿岸,地窨子,半地穴结构,防寒保温,泥土,火炕,萨满教,,,,,,,,,,,,,,,,,,,,,
CN-MBA-54,门巴族,西藏,碉房,石木平顶结构,防寒保暖,花岗岩石块,经堂,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-LBA-55,珞巴族,西藏,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-JNO-56,基诺族,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
