ID,民族,主要地区1.1,主要地区1.2,主要乐器1,乐器发声分类1,主要材质1.1,主要材质1.2,主要材质1.3,主要使用场景1,主要地区2.1,主要地区2.2,主要乐器2,乐器发声分类2,主要材质2.1,主要材质2.2,主要使用场景2,主要地区3.1,主要地区3.2,主要乐器3,乐器发声分类3,主要材质3.1,主要材质3.2,主要使用场景3,主要地区4.1,主要地区4.2,主要乐器4,乐器发声分类4,主要材质4.1,主要材质4.2,主要使用场景4,主要地区5.1,主要地区5.2,主要乐器5,乐器发声分类5,主要材质5.1,主要材质5.2,主要使用场景5,主要地区6.1,主要乐器6,乐器发声分类6,主要材质6.1,主要使用场景6,主要地区7.1,主要乐器7,乐器发声分类7,主要材质7.1,主要材质7.2,主要使用场景7
CN-HAN-01,汉族,长江三角洲及太湖平原,,古琴,弹拨乐,木材,丝弦,,宫廷雅乐,长江三角洲及太湖平原,,琵琶,弹拨乐,木材,丝弦,民间节庆聚会,全国通用,,汉族传统二胡,拉弦乐,木材,,戏曲说唱伴奏,全国通用,,汉族江南竹笛,打击乐,木材,,婚丧嫁娶,中原地区,,编钟,打击乐,金属铜,,宫廷雅乐,全国通用,汉族大唢呐,弹拨乐,木材,宫廷雅乐,长江中下游,扬琴,拉弦乐,木材,丝弦,宫廷雅乐
CN-MGL-02,蒙古族,内蒙古草原,,马头琴,拉弦乐,木材,兽皮,马尾,民间节庆聚会,内蒙古草原,,冬不拉,弹拨乐,木材,丝弦,民间节庆聚会,内蒙古自治区,,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,内蒙古草原,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-HUI-03,回族,宁夏,,竹笛,管乐,竹材,木材,,民间节庆聚会,宁夏,,唢呐,管乐,金属铜,,婚丧嫁娶,宁夏,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,宁夏,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ZAN-04,藏族,卫藏地区,,扎木聂,弹拨乐,木材,丝弦,,祭祀仪典,青藏高原,寺院,筒钦,管乐,金属铜,,民间节庆聚会,卫藏地区,,达玛如,打击乐,木材,兽皮,民间节庆聚会,青藏高原,寺院,冈洞,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-WEW-05,维吾尔族,南疆绿洲,喀什,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,吐鲁番,哈密盆地,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,吐鲁番,哈密盆地,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,南疆绿洲,喀什,达卜,弹拨乐,木材,兽皮,民间节庆聚会,新疆绿洲,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-MIA-06,苗族,西南山区,,踩堂芦笙,管乐,木材,,  ,民间节庆聚会,西南山区,,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南山区,,口弦,打击乐,竹材,铜簧,青年传情达意,西南山区,,月琴,弹拨乐,木材,丝弦,祭祀仪典,黔东南,湘西山区,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-YI-07,彝族,西南横断山区,,芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南横断山区,,彝族多簧口弦,管乐,木材,,青年传情达意,西南横断山区,,彝族月琴,拉弦乐,木材,,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-ZHU-08,壮族,右江,红水河流域,铜鼓,打击乐,金属铜,,,祭祀仪典,岭南,黔南地区,葫芦丝,管乐,竹材,木材,祭祀仪典,岭南,黔南地区,象脚鼓,打击乐,竹材,木材,民间节庆聚会,岭南,黔南地区,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-BUY-09,布依族,右江,红水河流域,铜鼓,打击乐,金属铜,,,祭祀仪典,岭南,黔南地区,葫芦丝,管乐,竹材,木材,祭祀仪典,岭南,黔南地区,象脚鼓,打击乐,竹材,木材,民间节庆聚会,岭南,黔南地区,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-CXN-10,朝鲜族,长白山,延边地区,竹笛,管乐,竹材,木材,,民间节庆聚会,长白山,延边地区,朝鲜族太平箫,弹拨乐,木材,,婚丧嫁娶,长白山,延边地区,三弦,弹拨乐,木材,丝弦,民间节庆聚会,长白山,延边地区,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-MAN-11,满族,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-12,侗族,西南山区,,大歌芦笙,管乐,木材,,,民间节庆聚会,西南山区,,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南山区,,口弦,打击乐,竹材,铜簧,青年传情达意,西南山区,,月琴,弹拨乐,木材,丝弦,祭祀仪典,黔东南,湘西山区,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-YAO-13,瑶族,广西,,芦笙,管乐,竹材,木材,,民间节庆聚会,广西,,葫芦笙,管乐,竹材,木材,民间节庆聚会,广西,,口弦,打击乐,竹材,铜簧,青年传情达意,广西,,月琴,弹拨乐,木材,丝弦,祭祀仪典,广西,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-BAI-14,白族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,白族大三弦,弹拨乐,木材,,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TJZ-15,土家族,湖南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,湖南省,,唢呐,管乐,金属铜,,婚丧嫁娶,湖南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,湖南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-HNI-16,哈尼族,西南横断山区,,芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,滇南,凉山,口弦,打击乐,竹材,铜簧,青年传情达意,西南横断山区,,哈尼族月琴,拉弦乐,木材,,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-HSK-17,哈萨克族,新疆北部牧区,,冬不拉,弹拨乐,木材,丝弦,丝弦,民间节庆聚会,新疆北部牧区,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,天山,阿尔泰山牧区,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,新疆北部牧区,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DAI-18,傣族,云南边境谷地,,铜鼓,打击乐,金属铜,,,祭祀仪典,云南边境谷地,,傣族葫芦丝,管乐,木材,,祭祀仪典,西双版纳,德宏谷地,象脚鼓,打击乐,竹材,木材,民间节庆聚会,云南边境谷地,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-LIZ-19,黎族,海南五指山区,,竹鼻箫,管乐,竹材,木材,,民间节庆聚会,海南五指山区,,唢呐,管乐,金属铜,,婚丧嫁娶,海南五指山区,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,海南五指山区,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-LSU-20,傈僳族,西南横断山区,,葫芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,滇南,凉山,口弦,打击乐,竹材,铜簧,青年传情达意,滇南,凉山,月琴,弹拨乐,木材,丝弦,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
